hparams_hash,learning_rate,layer_sizes,dropout_rates,batch_norm,weight_decay,batch_size,leaky_relu_negative_slope,num_epochs,scheduler_mode,scheduler_factor,scheduler_patience,scheduler_threshold,scheduler_cooldown,early_stopping_mode,early_stopping_patience,early_stopping_delta,val_loss,val_accuracy,computation_time,final_num_epochs,lr_reduction_epochs,log_filename
42b4a611b75afe5529f40111ff16eca5,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3634463324668301,90.3,185.40627002716064,19,"[9, 17]",training_log_42b4a611b75afe5529f40111ff16eca5.json
b15917bbd525838766618e6ea18c34a1,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3687099981345708,90.43,191.24516940116882,21,"[10, 19]",training_log_b15917bbd525838766618e6ea18c34a1.json
282e2a2fc5ac41c33a3c5da4ce3b681a,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",1e-05,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3755291647548917,89.97,210.33378744125366,23,"[10, 21]",training_log_282e2a2fc5ac41c33a3c5da4ce3b681a.json
822b146bc0b4eff291f84ee757010bf7,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.33784963912926613,90.8,335.6735646724701,24,"[15, 22]",training_log_822b146bc0b4eff291f84ee757010bf7.json
35790f2dab980195abed3ace4531fea0,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3627320284757763,90.14,321.68971586227417,23,[21],training_log_35790f2dab980195abed3ace4531fea0.json
8dea4630808804514120e810fc693ffb,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35561213408189174,91.25,271.21564984321594,24,"[12, 22]",training_log_8dea4630808804514120e810fc693ffb.json
061a0de4c40d16b2338ed1398896d062,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.36132931625381254,90.52,271.52880215644836,24,"[15, 22]",training_log_061a0de4c40d16b2338ed1398896d062.json
6176a2f9d40ed5207c22711c4f256046,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3512417202589998,90.8,185.7160394191742,19,"[8, 17]",training_log_6176a2f9d40ed5207c22711c4f256046.json
34885a333f893ff399678ac38ad3a0cc,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3580416525909855,90.41,185.82742643356323,19,"[9, 17]",training_log_34885a333f893ff399678ac38ad3a0cc.json
57998ae133edb5a0ee4b5df40fbc5dcb,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3734438447635385,90.46,193.60986185073853,21,"[10, 19]",training_log_57998ae133edb5a0ee4b5df40fbc5dcb.json
bc58a2127bb252d549e8801251573e9e,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.0001,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3762454643279691,90.08,213.29637145996094,23,"[10, 21]",training_log_bc58a2127bb252d549e8801251573e9e.json
e9fe888ba667ceb9b8fff091153e631e,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.36239127249438313,90.37,319.7762553691864,23,[21],training_log_e9fe888ba667ceb9b8fff091153e631e.json
bdb90c00b53fdc5dbd4ff255b91cbecb,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3614732010576874,90.3,333.5178110599518,24,"[17, 22]",training_log_bdb90c00b53fdc5dbd4ff255b91cbecb.json
83276e9416cfc4cd6704b4893796bb6d,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.35655045075514635,90.83,233.64472222328186,21,"[12, 19]",training_log_83276e9416cfc4cd6704b4893796bb6d.json
adca87af1047f629e614558362dc5052,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3669951263243874,90.42,256.9010257720947,23,"[12, 21]",training_log_adca87af1047f629e614558362dc5052.json
53beae6022a2ed5b21fe3f36af84d095,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,64,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.36716477720031315,90.04,102.96039247512817,11,[9],training_log_53beae6022a2ed5b21fe3f36af84d095.json
5a85920748c415723bcfb37a6e1393df,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,64,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3584191067867978,90.6,184.70022821426392,19,"[9, 17]",training_log_5a85920748c415723bcfb37a6e1393df.json
288344256da4ed16caab3de8092e014b,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,128,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3628670639252361,90.5,190.7983410358429,21,"[10, 19]",training_log_288344256da4ed16caab3de8092e014b.json
839822549294b5e870e6d7db7601fd2f,0.001,"[128, 64]","[0.1, 0.1]","[true, true]",0.001,128,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.37861704467972623,89.98,210.30673670768738,23,"[10, 21]",training_log_839822549294b5e870e6d7db7601fd2f.json
76f34f26e888f3551b07ad0a648dc4e5,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,16,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4090221870607114,89.96,213.83558106422424,17,"[10, 15]",training_log_76f34f26e888f3551b07ad0a648dc4e5.json
a201d1197202bffadf33781700bebc26,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,16,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3854798905123025,90.5,227.6048424243927,18,"[9, 16]",training_log_a201d1197202bffadf33781700bebc26.json
25016b3319a8bcabaffeafb5f122fa84,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,32,0.01,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.4147141233836777,90.74,268.19750475883484,25,"[14, 23]",training_log_25016b3319a8bcabaffeafb5f122fa84.json
0b97a4b518fd7136f59a1dfd0533afc3,0.001,"[128, 64]","[0.1, 0.1]","[false, false]",0.0,32,0.1,200,"""min""",0.1,3,0.0001,0,"""min""",5,0.0001,0.3876101160289931,90.94,267.39367175102234,25,"[13, 23]",training_log_0b97a4b518fd7136f59a1dfd0533afc3.json
